~id,preferred_id:String,~label
BRCC3,id,Gene
COL4A1,id,Gene
SMARCAL1,id,Gene
GNB2,id,Gene
MYH11,id,Gene
TGFBR1,id,Gene
TGFBR2,id,Gene
LOX,id,Gene
SMAD2,id,Gene
TGFB3,id,Gene
SMAD3,id,Gene
TGFB2,id,Gene
SMAD4,id,Gene
FBN1,id,Gene
ACTA2,id,Gene
PRKG1,id,Gene
FOXE3,id,Gene
MAT2A,id,Gene
HEY2,id,Gene
MFAP5,id,Gene
MYLK,id,Gene
THSD4,id,Gene
ELN,id,Gene
ADA2,id,Gene
TBK1,id,Gene
COQ4,id,Gene
COLGALT1,id,Gene
PIK3C2A,id,Gene
TGM1,id,Gene
FLG,id,Gene
STS,id,Gene
HLCS,id,Gene
RMRP,id,Gene
CHD7,id,Gene
LIG4,id,Gene
RAG1,id,Gene
RAG2,id,Gene
DCLRE1C,id,Gene
ADA,id,Gene
IL7R,id,Gene
IL2RG,id,Gene
GBA1,id,Gene
SLC27A4,id,Gene
MRPS22,id,Gene
ALG9,id,Gene
TWIST2,id,Gene
PIDD1,id,Gene
CHMP2B,id,Gene
TMEM106B,id,Gene
SQSTM1,id,Gene
TREM2,id,Gene
GM2A,id,Gene
TYROBP,id,Gene
DCTN1,id,Gene
PRKAR1B,id,Gene
PDE2A,id,Gene
UBE3A,id,Gene
OCA2,id,Gene
ADSL,id,Gene
GATAD2B,id,Gene
KANSL1,id,Gene
SLC6A17,id,Gene
SLC9A6,id,Gene
PIGS,id,Gene
DYRK1A,id,Gene
TBC1D2B,id,Gene
NOVA2,id,Gene
PGAP1,id,Gene
ATP10A,id,Gene
ATRX,id,Gene
GLI3,id,Gene
WDR4,id,Gene
TTI1,id,Gene
TELO2,id,Gene
NTNG2,id,Gene
HSD17B10,id,Gene
CIT,id,Gene
LNPK,id,Gene
LRAT,id,Gene
SPATA7,id,Gene
RPE65,id,Gene
LCA5,id,Gene
PPIL1,id,Gene
COG6,id,Gene
CCNK,id,Gene
CDC40,id,Gene
CTNNA2,id,Gene
SNX14,id,Gene
CACNA1G,id,Gene
TMTC3,id,Gene
ABCC8,id,Gene
FOXP2,id,Gene
APC2,id,Gene
WLS,id,Gene
AMPD2,id,Gene
ITPR1,id,Gene
RTL1,id,Gene
DLK1,id,Gene
MEG3,id,Gene
PUS3,id,Gene
ZMYND11,id,Gene
SLC6A8,id,Gene
ADNP,id,Gene
NEXMIF,id,Gene
LINGO1,id,Gene
POGZ,id,Gene
CHD8,id,Gene
SPTBN1,id,Gene
CLTC,id,Gene
TTC19,id,Gene
FOXG1,id,Gene
OPHN1,id,Gene
MED12,id,Gene
SHANK3,id,Gene
CDKL5,id,Gene
NTNG1,id,Gene
GABBR2,id,Gene
MECP2,id,Gene
SMC1A,id,Gene
CREBBP,id,Gene
ALG11,id,Gene
NLGN1,id,Gene
SH2B1,id,Gene
GRIN1,id,Gene
TET3,id,Gene
EP300,id,Gene
POLA1,id,Gene
MBD5,id,Gene
HERC1,id,Gene
GRIK2,id,Gene
MAN2C1,id,Gene
FMR1,id,Gene
SYNGAP1,id,Gene
CHMP1A,id,Gene
CNTNAP2,id,Gene
WARS2,id,Gene
GTF2H5,id,Gene
CARS1,id,Gene
ERCC2,id,Gene
RNF113A,id,Gene
MPLKIP,id,Gene
TARS1,id,Gene
AARS1,id,Gene
ERCC3,id,Gene
GTF2E2,id,Gene
TBR1,id,Gene
SLC2A1,id,Gene
AP2M1,id,Gene
SCN1A,id,Gene
CHD2,id,Gene
SLC6A1,id,Gene
IQSEC2,id,Gene
PLA2G6,id,Gene
VPS13C,id,Gene
PARK7,id,Gene
UCHL1,id,Gene
HTRA2,id,Gene
LRRK2,id,Gene
DNAJC6,id,Gene
SNCA,id,Gene
PODXL,id,Gene
PINK1,id,Gene
SNRPN,id,Gene
NF1,id,Gene
VPS13A,id,Gene
SMARCA2,id,Gene
PIGH,id,Gene
CHAMP1,id,Gene
DDX59,id,Gene
SRRM2,id,Gene
STX1A,id,Gene
CLIP2,id,Gene
DNAJC30,id,Gene
FKBP6,id,Gene
RFC2,id,Gene
GTF2I,id,Gene
LIMK1,id,Gene
GTF2IRD1,id,Gene
VPS37D,id,Gene
METTL27,id,Gene
BUD23,id,Gene
EIF4H,id,Gene
GTF2IRD2,id,Gene
TBL2,id,Gene
NCF1,id,Gene
TMEM270,id,Gene
BAZ1B,id,Gene
MED13L,id,Gene
ETFDH,id,Gene
ETFA,id,Gene
ETFB,id,Gene
TBCD,id,Gene
TNFRSF11A,id,Gene
MTAP,id,Gene
CLCN7,id,Gene
TAPT1,id,Gene
XYLT2,id,Gene
BICD2,id,Gene
TCIRG1,id,Gene
LEMD2,id,Gene
TRPV6,id,Gene
DCXR,id,Gene
ASPH,id,Gene
MTRR,id,Gene
MTHFR,id,Gene
HCFC1,id,Gene
CBS,id,Gene
ABCD4,id,Gene
MTR,id,Gene
MMADHC,id,Gene
FAH,id,Gene
SLC2A2,id,Gene
CYP27B1,id,Gene
CYP2R1,id,Gene
SLC34A1,id,Gene
NGLY1,id,Gene
DGUOK,id,Gene
TNFRSF11B,id,Gene
SLC36A2,id,Gene
PRODH,id,Gene
SLC6A18,id,Gene
SLC6A20,id,Gene
SLC6A19,id,Gene
ALDH4A1,id,Gene
PLOD2,id,Gene
GLDC,id,Gene
ACADM,id,Gene
MCCC2,id,Gene
PCCA,id,Gene
PCCB,id,Gene
PREPL,id,Gene
PPM1B,id,Gene
CAMKMT,id,Gene
CTH,id,Gene
LMBRD1,id,Gene
PRDX1,id,Gene
MMACHC,id,Gene
GPHN,id,Gene
MOCS1,id,Gene
MOCS2,id,Gene
GUCY2D,id,Gene
NADK2,id,Gene
ASL,id,Gene
CTNS,id,Gene
SLC1A1,id,Gene
OCRL,id,Gene
MT-TS1,id,Gene
MT-TN,id,Gene
SURF1,id,Gene
FOCAD,id,Gene
GALT,id,Gene
COA8,id,Gene
FARS2,id,Gene
CLCN5,id,Gene
PEX5,id,Gene
SLC35C1,id,Gene
CPS1,id,Gene
OTC,id,Gene
UMPS,id,Gene
BCS1L,id,Gene
MARS1,id,Gene
GATM,id,Gene
NDUFAF6,id,Gene
CASR,id,Gene
GCLC,id,Gene
NEU1,id,Gene
EHHADH,id,Gene
PEX1,id,Gene
OAT,id,Gene
FH,id,Gene
SLC35A1,id,Gene
PET100,id,Gene
FTCD,id,Gene
SLC19A2,id,Gene
TK2,id,Gene
HNF4A,id,Gene
GEMIN4,id,Gene
ATPAF2,id,Gene
HGD,id,Gene
SLC7A7,id,Gene
VPS33B,id,Gene
SUCLA2,id,Gene
GLYCTK,id,Gene
NFS1,id,Gene
RRM2B,id,Gene
VIPAS39,id,Gene
HIBCH,id,Gene
XPA,id,Gene
XPC,id,Gene
DDB2,id,Gene
ERCC4,id,Gene
ERCC5,id,Gene
GALE,id,Gene
SPINK5,id,Gene
TDO2,id,Gene
SLC3A1,id,Gene
SLC7A9,id,Gene
AASS,id,Gene
ALDOB,id,Gene
ARG1,id,Gene
CLTRN,id,Gene
SARDH,id,Gene
UQCRB,id,Gene
LIPT1,id,Gene
ALDH6A1,id,Gene
SLC25A13,id,Gene
PHYKPL,id,Gene
DMGDH,id,Gene
SUOX,id,Gene
AGXT2,id,Gene
IBA57,id,Gene
SLC25A15,id,Gene
GGT1,id,Gene
ASPA,id,Gene
SLC13A3,id,Gene
OPLAH,id,Gene
GSS,id,Gene
DHTKD1,id,Gene
NFU1,id,Gene
LETM1,id,Gene
ALDH5A1,id,Gene
KYNU,id,Gene
PAH,id,Gene
TAT,id,Gene
IVD,id,Gene
ACAT1,id,Gene
HAL,id,Gene
HPD,id,Gene
ALS2,id,Gene
IFIH1,id,Gene
KRT14,id,Gene
JUP,id,Gene
WNT10A,id,Gene
CAST,id,Gene
FZD6,id,Gene
PPP1R13L,id,Gene
HLA-C,id,Gene
ATR,id,Gene
UROD,id,Gene
ITGA3,id,Gene
KRT74,id,Gene
KRT85,id,Gene
GJB6,id,Gene
CDSN,id,Gene
DSG1,id,Gene
DKC1,id,Gene
NOP10,id,Gene
NHP2,id,Gene
COL7A1,id,Gene
LAMA3,id,Gene
ITGB4,id,Gene
KRT5,id,Gene
HOXC13,id,Gene
MSX1,id,Gene
TINF2,id,Gene
FOXN1,id,Gene
AIRE,id,Gene
UFC1,id,Gene
TP63,id,Gene
KLK11,id,Gene
LPAR6,id,Gene
IKBKG,id,Gene
TERC,id,Gene
TERT,id,Gene
PORCN,id,Gene
EFNB1,id,Gene
CTSK,id,Gene
AQP5,id,Gene
EDARADD,id,Gene
EDAR,id,Gene
LMX1B,id,Gene
SLC39A4,id,Gene
ATP2A2,id,Gene
FERMT1,id,Gene
GJA1,id,Gene
DVL3,id,Gene
WNT5A,id,Gene
DVL1,id,Gene
FZD2,id,Gene
PEX6,id,Gene
PAK3,id,Gene
UQCRQ,id,Gene
CLCN3,id,Gene
TSEN54,id,Gene
BCKDK,id,Gene
ZBTB20,id,Gene
SRCAP,id,Gene
GNS,id,Gene
ELP1,id,Gene
SPART,id,Gene
CUL4B,id,Gene
SATB2,id,Gene
GNAS,id,Gene
GNA11,id,Gene
ATP1A3,id,Gene
GALC,id,Gene
CTSF,id,Gene
TNIK,id,Gene
PDE11A,id,Gene
DDC,id,Gene
ARSA,id,Gene
PSAP,id,Gene
USP48,id,Gene
USP8,id,Gene
CDH23,id,Gene
NR3C1,id,Gene
BRAF,id,Gene
LEPR,id,Gene
PRKAR1A,id,Gene
PDCD6IP,id,Gene
MTPAP,id,Gene
PSMD12,id,Gene
BPTF,id,Gene
C19orf12,id,Gene
SPG11,id,Gene
AIP,id,Gene
GRIN2A,id,Gene
DEAF1,id,Gene
RFX7,id,Gene
FTL,id,Gene
BBIP1,id,Gene
CEP290,id,Gene
IFT27,id,Gene
BBS1,id,Gene
SCAPER,id,Gene
NPHP1,id,Gene
WDPCP,id,Gene
SCLT1,id,Gene
BBS9,id,Gene
CEP19,id,Gene
TRIM32,id,Gene
MKS1,id,Gene
BBS10,id,Gene
TTC8,id,Gene
IFT172,id,Gene
BBS2,id,Gene
BBS4,id,Gene
MKKS,id,Gene
LZTFL1,id,Gene
BBS7,id,Gene
BBS12,id,Gene
SDCCAG8,id,Gene
CFAP418,id,Gene
ARL6,id,Gene
BBS5,id,Gene
IFT74,id,Gene
BSND,id,Gene
CLCNKB,id,Gene
CLCNKA,id,Gene
PRKACA,id,Gene
BAP1,id,Gene
NF2,id,Gene
SMARCB1,id,Gene
PDGFB,id,Gene
TRAF7,id,Gene
SMO,id,Gene
AKT1,id,Gene
PIK3CA,id,Gene
SUFU,id,Gene
SMARCE1,id,Gene
CACNA1A,id,Gene
SLC1A3,id,Gene
ATP1A2,id,Gene
NHLRC1,id,Gene
EPM2A,id,Gene
SRPK3,id,Gene
ZFYVE26,id,Gene
LAS1L,id,Gene
HDAC8,id,Gene
ARMC5,id,Gene
KDM1A,id,Gene
DGCR8,id,Gene
TBX1,id,Gene
DGCR6,id,Gene
ESS2,id,Gene
DGCR2,id,Gene
MIR17HG,id,Gene
PANK2,id,Gene
MAPK8IP3,id,Gene
RNF125,id,Gene
PGK1,id,Gene
SNORD118,id,Gene
TARDBP,id,Gene
NAGS,id,Gene
HNRNPA1,id,Gene
TAF15,id,Gene
PON2,id,Gene
PRPH,id,Gene
GLT8D1,id,Gene
CFAP410,id,Gene
PPARGC1A,id,Gene
SOD1,id,Gene
OPTN,id,Gene
PON1,id,Gene
PON3,id,Gene
NEFH,id,Gene
PFN1,id,Gene
MATR3,id,Gene
ANG,id,Gene
UBQLN2,id,Gene
GLE1,id,Gene
FUS,id,Gene
NEK1,id,Gene
ATXN2,id,Gene
DAO,id,Gene
ERBB4,id,Gene
UNC13A,id,Gene
CCNF,id,Gene
SRPX2,id,Gene
GABRG2,id,Gene
EIF2B1,id,Gene
FMO3,id,Gene
RNF168,id,Gene
HLA-DQB1,id,Gene
HLA-DRB1,id,Gene
H4C5,id,Gene
AFF2,id,Gene
SYT1,id,Gene
COX10,id,Gene
DCDC2,id,Gene
TMEM67,id,Gene
LSS,id,Gene
ADCY5,id,Gene
ATP6V0A1,id,Gene
ECE1,id,Gene
EIF2S3,id,Gene
TOMM40,id,Gene
APP,id,Gene
SORL1,id,Gene
WAC,id,Gene
KIF11,id,Gene
BRAT1,id,Gene
FGF12,id,Gene
NDST1,id,Gene
SATB1,id,Gene
GLS,id,Gene
IGF1R,id,Gene
PTPN22,id,Gene
HLA-B,id,Gene
P4HA2,id,Gene
HTT,id,Gene
SLC2A3,id,Gene
GABRB3,id,Gene
GABRA1,id,Gene
CACNA1H,id,Gene
JRK,id,Gene
UQCRC1,id,Gene
TBC1D7,id,Gene
CLCN4,id,Gene
DNMT1,id,Gene
TRANK1,id,Gene
PPP2R2B,id,Gene
MLH1,id,Gene
PMS2,id,Gene
KRAS,id,Gene
MSH6,id,Gene
PMS1,id,Gene
MSH2,id,Gene
MAN2B1,id,Gene
MMP1,id,Gene
CEP85L,id,Gene
BCR,id,Gene
CRKL,id,Gene
MAPK1,id,Gene
KCNT1,id,Gene
SEMA4A,id,Gene
ATM,id,Gene
POLE,id,Gene
BRCA2,id,Gene
BMPR1A,id,Gene
RPS20,id,Gene
MUTYH,id,Gene
POLD1,id,Gene
CHEK2,id,Gene
CLN6,id,Gene
AMACR,id,Gene
DNA2,id,Gene
PDGFRB,id,Gene
ATP13A2,id,Gene
TSHB,id,Gene
GPR35,id,Gene
SEMA4D,id,Gene
MST1,id,Gene
TCF4,id,Gene
MSTO1,id,Gene
SLC20A2,id,Gene
HLA-DQA1,id,Gene
GPR101,id,Gene
STUB1,id,Gene
ABCB7,id,Gene
AP2S1,id,Gene
FA2H,id,Gene
WFS1,id,Gene
ABCA7,id,Gene
EHMT1,id,Gene
DLL1,id,Gene
FGF8,id,Gene
SIX3,id,Gene
TGIF1,id,Gene
NODAL,id,Gene
SHH,id,Gene
ZIC2,id,Gene
STIL,id,Gene
GAS1,id,Gene
DISP1,id,Gene
GLI2,id,Gene
FOXH1,id,Gene
CRIPTO,id,Gene
PTCH1,id,Gene
CDON,id,Gene
FGFR1,id,Gene
PLCH1,id,Gene
STAG2,id,Gene
COQ2,id,Gene
FXN,id,Gene
RPS6KA3,id,Gene
TBP,id,Gene
SLC7A6OS,id,Gene
FLT4,id,Gene
PTRHD1,id,Gene
FGF14,id,Gene
MEFV,id,Gene
ATXN8,id,Gene
ATXN8OS,id,Gene
ATXN10,id,Gene
GSTM3,id,Gene
TGFB1,id,Gene
CEACAM3,id,Gene
SLC11A1,id,Gene
DCTN4,id,Gene
KCNN4,id,Gene
MIF,id,Gene
EDNRA,id,Gene
SLC9A3,id,Gene
HMOX1,id,Gene
SLC26A9,id,Gene
HFE,id,Gene
SLC6A14,id,Gene
CFTR,id,Gene
CLCA4,id,Gene
CEACAM6,id,Gene
GSN,id,Gene
ATP8B1,id,Gene
ABCB11,id,Gene
ABCB4,id,Gene
NR1H4,id,Gene
IRF4,id,Gene
PLP1,id,Gene
IFNG,id,Gene
TSC1,id,Gene
TSC2,id,Gene
SPAST,id,Gene
TRHR,id,Gene
RELN,id,Gene
LGI1,id,Gene
DEPDC5,id,Gene
DNAJC5,id,Gene
TREX1,id,Gene
CHCHD2,id,Gene
CTCF,id,Gene
TOR1A,id,Gene
SLC25A4,id,Gene
SPRY4,id,Gene
PROKR2,id,Gene
PROK2,id,Gene
TACR3,id,Gene
DUSP6,id,Gene
NSMF,id,Gene
WDR11,id,Gene
NHLH2,id,Gene
HS6ST1,id,Gene
GNRH1,id,Gene
GNRHR,id,Gene
KISS1R,id,Gene
TAC3,id,Gene
FGF17,id,Gene
KISS1,id,Gene
MT-TF,id,Gene
MT-TQ,id,Gene
MT-CO1,id,Gene
MT-CO2,id,Gene
MT-CO3,id,Gene
MT-TW,id,Gene
MT-ND5,id,Gene
MT-ND6,id,Gene
MT-ND1,id,Gene
MT-ND4,id,Gene
MT-TL1,id,Gene
MT-TS2,id,Gene
MT-TH,id,Gene
NAA60,id,Gene
STX16,id,Gene
MT-TL2,id,Gene
AOPEP,id,Gene
COASY,id,Gene
AARS2,id,Gene
FCGR3B,id,Gene
STAT4,id,Gene
ITGAM,id,Gene
IL10,id,Gene
JAZF1,id,Gene
TNFSF4,id,Gene
BLK,id,Gene
C4A,id,Gene
BANK1,id,Gene
IGHG1,id,Gene
IRAK1,id,Gene
CTLA4,id,Gene
CR2,id,Gene
PDCD1,id,Gene
ETS1,id,Gene
FCGR2B,id,Gene
TNIP1,id,Gene
UBE2L3,id,Gene
KIAA0319L,id,Gene
IRF5,id,Gene
C4B,id,Gene
DNASE1,id,Gene
SPP1,id,Gene
PXK,id,Gene
TNFAIP3,id,Gene
HTR2A,id,Gene
FKBP5,id,Gene
TPH2,id,Gene
SMPD1,id,Gene
MPV17,id,Gene
GPRC5B,id,Gene
DNAJC13,id,Gene
EIF4G1,id,Gene
VPS35,id,Gene
GIGYF2,id,Gene
COMT,id,Gene
JMJD1C,id,Gene
GP1BB,id,Gene
RREB1,id,Gene
HIRA,id,Gene
SEC24C,id,Gene
UFD1,id,Gene
ARVCF,id,Gene
GLA,id,Gene
PRKCG,id,Gene
PTS,id,Gene
CHRNA4,id,Gene
CABP4,id,Gene
CHRNB2,id,Gene
CRH,id,Gene
DRD2,id,Gene
SGCE,id,Gene
AP1G1,id,Gene
MAMLD1,id,Gene
AR,id,Gene
THOC2,id,Gene
SPR,id,Gene
JPH3,id,Gene
KMT2B,id,Gene
USH2A,id,Gene
PDZD7,id,Gene
MYO7A,id,Gene
WHRN,id,Gene
ADGRV1,id,Gene
PER3,id,Gene
GCH1,id,Gene
NR4A2,id,Gene
IMPDH2,id,Gene
IDUA,id,Gene
C9orf72,id,Gene
CISD2,id,Gene
XK,id,Gene
AFG3L2,id,Gene
XPR1,id,Gene
HMBS,id,Gene
CACNA1I,id,Gene
CLRN1,id,Gene
ARSG,id,Gene
HARS1,id,Gene
CEP78,id,Gene
MEN1,id,Gene
CDKN1B,id,Gene
CDKN1A,id,Gene
CDKN2B,id,Gene
CDKN2C,id,Gene
ALAD,id,Gene
CTSH,id,Gene
P2RY11,id,Gene
MOG,id,Gene
HCRT,id,Gene
ZNF365,id,Gene
SDHA,id,Gene
PPT1,id,Gene
SLC6A4,id,Gene
CPOX,id,Gene
ATP9A,id,Gene
PTPA,id,Gene
PER2,id,Gene
USH1C,id,Gene
USH1G,id,Gene
ESPN,id,Gene
CIB2,id,Gene
PCDH15,id,Gene
ZFX,id,Gene
ADH1C,id,Gene
MT-TT,id,Gene
SNCAIP,id,Gene
EBP,id,Gene
SUPT16H,id,Gene
ALG14,id,Gene
NBEA,id,Gene
RUSC2,id,Gene
BRF1,id,Gene
TRAPPC10,id,Gene
STT3A,id,Gene
DNMT3A,id,Gene
CHKA,id,Gene
POU4F1,id,Gene
CAMTA1,id,Gene
SLC52A2,id,Gene
NSD1,id,Gene
ARPC4,id,Gene
UBE3C,id,Gene
GAMT,id,Gene
MED12L,id,Gene
CDC42BPB,id,Gene
KMT5B,id,Gene
USP9X,id,Gene
PACS1,id,Gene
KMT2E,id,Gene
INPP5E,id,Gene
PSMB1,id,Gene
KNL1,id,Gene
WDR62,id,Gene
SOX5,id,Gene
VPS16,id,Gene
ANK3,id,Gene
GRIA3,id,Gene
BCAP31,id,Gene
ARID1B,id,Gene
SETD1A,id,Gene
MED25,id,Gene
FRRS1L,id,Gene
AGO1,id,Gene
DHCR7,id,Gene
IMPA1,id,Gene
ZMIZ1,id,Gene
CEP152,id,Gene
TMEM231,id,Gene
UQCC2,id,Gene
WBP4,id,Gene
SIN3A,id,Gene
MGAT2,id,Gene
AHDC1,id,Gene
ODC1,id,Gene
CHD5,id,Gene
BCOR,id,Gene
METTL5,id,Gene
AP1S2,id,Gene
UBE4A,id,Gene
SLC4A10,id,Gene
TIMM50,id,Gene
PIGY,id,Gene
PGM2L1,id,Gene
ADAT3,id,Gene
TCF20,id,Gene
SCAF4,id,Gene
TMEM147,id,Gene
WDR45,id,Gene
TFE3,id,Gene
IQSEC1,id,Gene
FOXP1,id,Gene
NIPBL,id,Gene
EEF1A2,id,Gene
SETD2,id,Gene
NSUN6,id,Gene
UBE2A,id,Gene
RAP1GDS1,id,Gene
CASP2,id,Gene
JARID2,id,Gene
PCDH19,id,Gene
SPEN,id,Gene
DPYSL5,id,Gene
PUS7,id,Gene
FERRY3,id,Gene
KDM5B,id,Gene
COG3,id,Gene
HERC2,id,Gene
GABRD,id,Gene
KCNQ3,id,Gene
CILK1,id,Gene
EBF3,id,Gene
HDC,id,Gene
SLITRK1,id,Gene
ACBD6,id,Gene
CAPRIN1,id,Gene
NFASC,id,Gene
RORB,id,Gene
KDM4B,id,Gene
FBXW11,id,Gene
GNB1,id,Gene
MAB21L1,id,Gene
DDX3X,id,Gene
HIVEP2,id,Gene
SARS1,id,Gene
RBBP8,id,Gene
FBXL3,id,Gene
ELP2,id,Gene
RLIM,id,Gene
FTSJ1,id,Gene
SMARCC2,id,Gene
BCORL1,id,Gene
NSD2,id,Gene
MAN1B1,id,Gene
USP7,id,Gene
SMARCA4,id,Gene
SOX4,id,Gene
ARID1A,id,Gene
DPF2,id,Gene
SMARCD1,id,Gene
ARID2,id,Gene
SOX11,id,Gene
ABCA2,id,Gene
DYNC1I2,id,Gene
FRMPD4,id,Gene
SUCLG1,id,Gene
NKAP,id,Gene
MANBA,id,Gene
SETBP1,id,Gene
HNRNPH2,id,Gene
TAF4,id,Gene
TMEM222,id,Gene
ENTPD1,id,Gene
PTCHD1,id,Gene
LINS1,id,Gene
LMAN2L,id,Gene
SASS6,id,Gene
TRIO,id,Gene
UROC1,id,Gene
MYT1L,id,Gene
UBTF,id,Gene
STEEP1,id,Gene
NONO,id,Gene
SHMT2,id,Gene
TTC5,id,Gene
SYN1,id,Gene
HDAC4,id,Gene
ASPM,id,Gene
TRIP12,id,Gene
NFIB,id,Gene
PHIP,id,Gene
SLITRK2,id,Gene
KDM3B,id,Gene
ECM1,id,Gene
AGO2,id,Gene
HEPHL1,id,Gene
NAGLU,id,Gene
HECTD4,id,Gene
NLGN4X,id,Gene
NLGN3,id,Gene
AIFM1,id,Gene
NAA20,id,Gene
NFIX,id,Gene
GLRX5,id,Gene
SLC6A3,id,Gene
ALPL,id,Gene
SDHAF1,id,Gene
ST3GAL3,id,Gene
PERCC1,id,Gene
COG4,id,Gene
TRMU,id,Gene
ASH1L,id,Gene
ADAR,id,Gene
CAMK2B,id,Gene
CAMK2A,id,Gene
CLN8,id,Gene
ALDH7A1,id,Gene
PLPBP,id,Gene
ZNRF3,id,Gene
CTNNB1,id,Gene
CDKN2A,id,Gene
DNM1,id,Gene
MAPK10,id,Gene
CUX2,id,Gene
FBP2,id,Gene
DCX,id,Gene
SLC46A1,id,Gene
PI4K2A,id,Gene
RNU4-2,id,Gene
SLC25A20,id,Gene
CNP,id,Gene
EXOC8,id,Gene
SLC19A3,id,Gene
FBP1,id,Gene
PRF1,id,Gene
DARS1,id,Gene
AVPR2,id,Gene
SLC1A2,id,Gene
NAXD,id,Gene
SDHB,id,Gene
SDHD,id,Gene
PTH,id,Gene
VPS53,id,Gene
ASS1,id,Gene
PYGL,id,Gene
SLC1A4,id,Gene
HSPG2,id,Gene
OSTM1,id,Gene
SLC25A1,id,Gene
RNASEH2A,id,Gene
RNASEH2C,id,Gene
SAMHD1,id,Gene
RNASEH2B,id,Gene
RNU7-1,id,Gene
LSM11,id,Gene
IL23R,id,Gene
CCR1,id,Gene
FAS,id,Gene
IL12A,id,Gene
IL12A-AS1,id,Gene
TLR4,id,Gene
IFNGR1,id,Gene
UBAC2,id,Gene
ERAP1,id,Gene
KLRC4,id,Gene
UBA5,id,Gene
SLC39A14,id,Gene
AQP2,id,Gene
NDUFS1,id,Gene
TMEM237,id,Gene
TCN2,id,Gene
GCSH,id,Gene
TSPOAP1,id,Gene
TH,id,Gene
NSDHL,id,Gene
VPS50,id,Gene
SLC16A2,id,Gene
ARV1,id,Gene
NDUFA2,id,Gene
TSEN15,id,Gene
CLP1,id,Gene
NACC1,id,Gene
NDUFAF4,id,Gene
POLR1A,id,Gene
NPHS1,id,Gene
CD2AP,id,Gene
NUP93,id,Gene
MYO1E,id,Gene
INF2,id,Gene
