~id,disease_name:String,preferred_id:String,~label
OMIM:620502,Neurodevelopmental disorder with language delay and variable cognitive abnormalities,id,Disease
OMIM:619383,"Neurodevelopmental disorder with hypotonia, facial dysmorphism, and brain abnormalities",id,Disease
OMIM:613876,"Cardiomyopathy, familial hypertrophic, 20",id,Disease
OMIM:613862,Retinitis pigmentosa 38,id,Disease
OMIM:222690,Dibasic amino aciduria I,id,Disease
OMIM:620270,Neurodevelopmental disorder with absent speech and movement and behavioral abnormalities,id,Disease
OMIM:300425,"Autism susceptibility, X-linked 1",id,Disease
OMIM:618089,Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities,id,Disease
OMIM:611913,"Chromosome 16p11.2 deletion syndrome, 593-kb",id,Disease
OMIM:127750,"Dementia, lewy body",id,Disease
OMIM:107480,Townes-Brocks syndrome 1,id,Disease
OMIM:617392,"Ectodermal dysplasia 13, Hair/tooth type",id,Disease
OMIM:301075,"Myopathy, distal, 7, adult-onset, X-linked",id,Disease
OMIM:122600,Spondylocostal dysostosis 5,id,Disease
OMIM:207410,Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis,id,Disease
OMIM:609812,"Maturity-Onset diabetes of the young, type 8, with exocrine dysfunction",id,Disease
OMIM:126300,DISTICHIASIS,id,Disease
OMIM:611091,"Intellectual developmental disorder, autosomal recessive 5",id,Disease
OMIM:300419,"Mental retardation, X-linked, with or without seizures, arx-related",id,Disease
OMIM:613686,"Spondylocostal dysostosis 4, autosomal recessive",id,Disease
OMIM:303110,Xq21 deletion syndrome,id,Disease
OMIM:258100,Oguchi disease 1,id,Disease
OMIM:614857,"Methylmalonic aciduria and homocystinuria, Cblj type",id,Disease
OMIM:211500,"Bulbar palsy, progressive, of childhood",id,Disease
OMIM:615591,"Macular degeneration, age-related, 15, susceptibility to",id,Disease
OMIM:616098,Immunodeficiency 37,id,Disease
OMIM:616517,Achromatopsia 7,id,Disease
OMIM:108200,Arthrogryposis-Like hand anomaly and sensorineural deafness,id,Disease
OMIM:617609,"Nephrotic syndrome, type 15",id,Disease
OMIM:614300,Hypermethioninemia due to adenosine kinase deficiency,id,Disease
OMIM:602562,Mandibulofacial dysostosis with macroblepharon and macrostomia,id,Disease
OMIM:145300,"Hypersensitivity pneumonitis, familial",id,Disease
OMIM:113620,Branchiooculofacial syndrome,id,Disease
OMIM:142309,Hemoglobin-Variants for which the chain carrying the mutation isunknown or uncertain,id,Disease
OMIM:613309,Diamond-Blackfan anemia 10,id,Disease
OMIM:188400,Digeorge syndrome,id,Disease
OMIM:610600,"Hypoaldosteronism, congenital, due to CMO II deficiency",id,Disease
OMIM:616271,"3-Methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia",id,Disease
OMIM:619142,Cardioacrofacial dysplasia 1,id,Disease
OMIM:618248,"Mitochondrial complex I deficiency, nuclear type 27",id,Disease
OMIM:158345,Multiple exostoses with spastic tetraparesis,id,Disease
OMIM:205950,"Anemia, sideroblastic, 2, pyridoxine-refractory",id,Disease
OMIM:616265,Peeling skin syndrome 3,id,Disease
OMIM:257970,Oculorenocerebellar syndrome,id,Disease
OMIM:616503,Lethal congenital contracture syndrome 9,id,Disease
OMIM:619630,Immunodeficiency 88,id,Disease
OMIM:600361,Hereditary motor and sensory neuropathy V,id,Disease
OMIM:250951,"3-@methylglutaconic aciduria, type IV",id,Disease
OMIM:613453,"Deafness, autosomal recessive 91",id,Disease
OMIM:605231,Bardet-Biedl syndrome 6,id,Disease
OMIM:615022,"Ichthyosis, congenital, autosomal recessive 7",id,Disease
OMIM:273150,"Testes, rudimentary",id,Disease
OMIM:253280,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3",id,Disease
OMIM:300814,"Nystagmus 6, congenital, X-linked",id,Disease
OMIM:607426,"Coenzyme Q10 deficiency, primary, 1",id,Disease
OMIM:618506,Coffin-Siris syndrome 10,id,Disease
OMIM:617635,"Intellectual developmental disorder, autosomal dominant 47",id,Disease
OMIM:620099,Cleidocranial dysplasia 2,id,Disease
OMIM:617153,"Epileptic encephalopathy, early infantile, 45",id,Disease
OMIM:176090,"Porphyria cutanea tarda, type I",id,Disease
OMIM:615744,"Epileptic encephalopathy, early infantile, 19",id,Disease
OMIM:277450,"VITAMIN K-DEPENDENT CLOTTING FACTORS, COMBINED DEFICIENCY OF, 1",id,Disease
OMIM:615750,Moyamoya disease 6 with achalasia,id,Disease
OMIM:605543,Parkinson disease 4,id,Disease
OMIM:615988,Bardet-Biedl syndrome 11,id,Disease
OMIM:144750,"Hyperostosis, endosteal",id,Disease
OMIM:610628,Hypogonadotropic hypogonadism 4 with or without anosmia,id,Disease
OMIM:109650,Behcet syndrome,id,Disease
OMIM:607432,Lissencephaly 1,id,Disease
OMIM:618512,O'donnell-Luria-Rodan syndrome,id,Disease
OMIM:614328,"Inflammatory skin and bowel disease, neonatal, 1",id,Disease
OMIM:261540,Peters-plus syndrome,id,Disease
OMIM:112270,"Bone pain, periodic",id,Disease
OMIM:175200,Peutz-Jeghers syndrome,id,Disease
OMIM:620066,"Neurodevelopmental disorder with microcephaly, cerebral atrophy, and visual impairment",id,Disease
OMIM:300633,"Hypospadias 1, X-linked",id,Disease
OMIM:620700,"Intellectual developmental disorder, autosomal recessive 81",id,Disease
OMIM:300155,Retinitis pigmentosa 24,id,Disease
OMIM:615963,Vesicoureteral reflux 8,id,Disease
OMIM:620714,"Deafness, autosomal recessive 122",id,Disease
OMIM:620072,Diamond-Blackfan anemia 21,id,Disease
OMIM:302030,Calvarial hyperostosis,id,Disease
OMIM:610199,"Diabetes mellitus, neonatal, with congenital hypothyroidism",id,Disease
OMIM:619803,Spermatogenic failure 67,id,Disease
OMIM:243050,Indolylacroyl glycinuria with mental retardation,id,Disease
OMIM:612956,"Ventricular fibrillation, paroxysmal familial, 2",id,Disease
OMIM:613490,Alpha-1-Antitrypsin deficiency,id,Disease
OMIM:614499,"Intellectual developmental disorder, autosomal recessive 34, with variant lissencephaly",id,Disease
OMIM:258470,Ophthalmoplegic neuromuscular disorder with abnormal mitochondria,id,Disease
OMIM:605594,"Deafness, autosomal dominant 39, with dentinogenesis imperfecta 1",id,Disease
OMIM:230900,"Gaucher disease, type II",id,Disease
OMIM:617190,Shashi-Pena syndrome,id,Disease
OMIM:311070,"Charcot-Marie-Tooth disease, X-linked recessive, 5",id,Disease
OMIM:617184,"Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type), autosomal dominant",id,Disease
OMIM:620728,Ullrich congenital muscular dystrophy 1C,id,Disease
OMIM:218040,Costello syndrome,id,Disease
OMIM:187900,"Bleeding disorder, platelet-type, 17",id,Disease
OMIM:226810,"Celiac disease, epilepsy and cerebral calcification syndrome",id,Disease
OMIM:619817,"Epidermolysis bullosa, junctional 6, with pyloric atresia",id,Disease
OMIM:619988,"Intellectual developmental disorder, autosomal recessive 77",id,Disease
OMIM:608885,Stomatin-deficient cryohydrocytosis with neurologic defects,id,Disease
OMIM:619750,Immunodeficiency 94 with autoinflammation and dysmorphic facies,id,Disease
DECIPHER:16,22q11 deletion syndrome (Velocardiofacial / DiGeorge syndrome),id,Disease
OMIM:105650,Diamond-Blackfan anemia 1,id,Disease
OMIM:185050,Storage pool platelet disease,id,Disease
OMIM:619036,"Myopathy, epilepsy, and progressive cerebral atrophy",id,Disease
OMIM:607208,"Epileptic encephalopathy, early infantile, 6 (Dravet syndrome)",id,Disease
OMIM:272460,Spondylocarpotarsal synostosis syndrome,id,Disease
OMIM:618328,"Epileptic encephalopathy, early infantile, 71",id,Disease
OMIM:616311,"Intellectual developmental disorder, autosomal dominant 33",id,Disease
OMIM:188560,Thyroid hormone plasma membrane transport defect,id,Disease
OMIM:604715,Orthostatic intolerance,id,Disease
OMIM:145260,"Pseudohypoaldosteronism, type II",id,Disease
OMIM:617769,Spinocerebellar ataxia 45,id,Disease
OMIM:608649,Ichthyosis prematurity syndrome,id,Disease
OMIM:610006,2-Methylbutyryl-Coa dehydrogenase deficiency,id,Disease
OMIM:606664,GLYCINE N-METHYLTRANSFERASE DEFICIENCY,id,Disease
OMIM:615156,"Progressive external ophthalmoplegia with mitochondrial DNA deletions,autosomal dominant, 6",id,Disease
OMIM:209950,"Immunodeficiency 27A, mycobacteriosis, AR",id,Disease
OMIM:112310,Boomerang dysplasia,id,Disease
OMIM:233400,Perrault syndrome 1,id,Disease
OMIM:300960,Mend syndrome,id,Disease
OMIM:616339,"Epileptic encephalopathy, early infantile, 29",id,Disease
OMIM:109730,Aortic valve disease 1,id,Disease
OMIM:265120,"Surfactant metabolism dysfunction, pulmonary, 1",id,Disease
OMIM:618314,"Hypomagnesemia, seizures, and mental retardation 2",id,Disease
OMIM:617027,"Hyperaldosteronism, familial, type IV",id,Disease
OMIM:228020,"Fascial dystrophy, congenital",id,Disease
OMIM:615630,Short-Rib thoracic dysplasia 10 with or without polydactyly,id,Disease
OMIM:613255,"Cardiomyopathy, familial hypertrophic, 15",id,Disease
OMIM:180100,Retinitis pigmentosa 1,id,Disease
OMIM:104200,"Alport syndrome 3, autosomal dominant",id,Disease
OMIM:610984,Complement factor I deficiency,id,Disease
OMIM:149300,"Koilonychia, hereditary",id,Disease
OMIM:252940,"Mucopolysaccharidosis, type IIID",id,Disease
OMIM:156220,"Meralgia paraesthetica, familial",id,Disease
OMIM:618300,"Ciliary dyskinesia, primary, 40",id,Disease
OMIM:309950,"Muscular dystrophy, hemizygous Lethal type",id,Disease
OMIM:617755,Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies,id,Disease
OMIM:184400,Sprengel deformity,id,Disease
OMIM:606658,Spinocerebellar ataxia 15,id,Disease
OMIM:100700,Achard syndrome,id,Disease
OMIM:603720,"Deafness, autosomal recessive 16",id,Disease
OMIM:135750,Laurin-Sandrow syndrome,id,Disease
OMIM:619793,Restrictive dermopathy 2,id,Disease
OMIM:158580,"Neuronopathy, distal hereditary motor, type VIIA",id,Disease
OMIM:178650,"Pulmonic stenosis, atrial septal defect, and unique electrocardiographicabnormalities",id,Disease
OMIM:620674,"Neutropenia, severe congenital, 11, autosomal dominant",id,Disease
OMIM:615817,"Intellectual developmental disorder, autosomal recessive 43",id,Disease
OMIM:615803,"Pontocerebellar hypoplasia, type 10",id,Disease
OMIM:202150,"Adrenal hypoplasia, congenital, with absent pituitary luteinizinghormone",id,Disease
OMIM:619787,"Epidermolysis bullosa, junctional 4, intermediate",id,Disease
OMIM:620106,"Spastic paraplegia 88, autosomal dominant",id,Disease
OMIM:618499,Noonan syndrome 11,id,Disease
OMIM:203500,Alkaptonuria,id,Disease
OMIM:619977,"Macular dystrophy, retinal, 4",id,Disease
OMIM:239850,Hypertrichotic osteochondrodysplasia,id,Disease
OMIM:276821,Ulnar hypoplasia with mental retardation,id,Disease
OMIM:207000,Anosmia for isobutyric acid,id,Disease
OMIM:613282,"Fatty liver disease, nonalcoholic, susceptibility to, 1",id,Disease
OMIM:139630,Hairy nose tip,id,Disease
OMIM:300009,Dent disease 1,id,Disease
OMIM:610947,"Coronary artery disease, autosomal dominant 2",id,Disease
OMIM:179200,"Radial heads, posterior dislocation of",id,Disease
OMIM:247430,"Lymphoblastic transformation, inhibition of",id,Disease
OMIM:134300,Facial spasm,id,Disease
OMIM:615181,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11)",id,Disease
OMIM:130600,Elliptocytosis 2,id,Disease
OMIM:616488,"Neuropathy, hereditary sensory and autonomic, type VIII",id,Disease
OMIM:606843,"Immunodeficiency with hyper-igm, type 3",id,Disease
OMIM:617796,"Intellectual developmental disorder, autosomal dominant 52",id,Disease
OMIM:307000,Hydrocephalus due to congenital stenosis of aqueduct of sylvius,id,Disease
OMIM:617219,"Chromosome 19q13.11 deletion syndrome, proximal",id,Disease
OMIM:535000,Leber optic atrophy,id,Disease
OMIM:619234,"Short stature, oligodontia, dysmorphic facies, and motor delay",id,Disease
OMIM:229100,Formiminotransferase deficiency,id,Disease
OMIM:614076,Hermansky-Pudlak syndrome 7,id,Disease
OMIM:615368,Lethal congenital contracture syndrome 5,id,Disease
OMIM:260500,Papilloma of choroid plexus,id,Disease
OMIM:609741,"Cataract 22, multiple types",id,Disease
OMIM:618880,"Glaucoma, primary closed-angle",id,Disease
OMIM:610204,"Pontocerebellar hypoplasia, type 5",id,Disease
OMIM:607778,Acrocapitofemoral dysplasia,id,Disease
OMIM:618658,Zimmermann-Laband syndrome 3,id,Disease
OMIM:153600,"Macroglobulinemia, Waldenstrom, somatic",id,Disease
OMIM:604271,"Growth hormone insensitivity, partial",id,Disease
OMIM:603278,Focal segmental glomerulosclerosis 1,id,Disease
OMIM:157300,"Migraine with or without aura, susceptibility to, 1",id,Disease
OMIM:609033,"Ataxia, posterior column, with retinitis pigmentosa",id,Disease
OMIM:619220,Immunodeficiency 78 with autoimmunity and developmental delay,id,Disease
OMIM:616113,Polyendocrine-polyneuropathy syndrome,id,Disease
OMIM:615432,Specific language impairment 5,id,Disease
OMIM:617225,"Spastic paraplegia 78, autosomal recessive",id,Disease
OMIM:618116,Bone marrow failure syndrome 4,id,Disease
OMIM:619208,Olmsted syndrome 2,id,Disease
OMIM:601321,Neurofibromatosis-Noonan syndrome,id,Disease
OMIM:225060,Cleft lip/palate-ectodermal dysplasia syndrome,id,Disease
OMIM:618670,Spermatogenic failure 41,id,Disease
OMIM:228550,"Myofibromatosis, infantile, 1",id,Disease
OMIM:613731,Retinitis pigmentosa 4,id,Disease
OMIM:616649,"Spherocytosis, type 2",id,Disease
OMIM:147891,Ischiocoxopodopatellar syndrome with or without pulmonary arterial hypertension,id,Disease
OMIM:611126,"Mitochondrial complex I deficiency, nuclear type 20",id,Disease
OMIM:265450,Pulmonary venoocclusive disease 1,id,Disease
OMIM:212800,Cephalin lipidosis,id,Disease
OMIM:617557,Gabriele-De vries syndrome,id,Disease
OMIM:618664,Spermatogenic failure 40,id,Disease
OMIM:600995,"Nephrotic syndrome, type 2",id,Disease
OMIM:601453,Trichodental dysplasia,id,Disease
OMIM:615426,Amyotrophic lateral sclerosis 20,id,Disease
OMIM:605635,"Hyperaldosteronism, familial, type II",id,Disease
OMIM:219000,Fraser syndrome,id,Disease
OMIM:254100,"Muscular dystrophy, congenital, with rapid progression",id,Disease
OMIM:620310,Congenital myopathy 20,id,Disease
OMIM:618857,"Diabetes mellitus, permanent neonatal 3, with or without neurologic features",id,Disease
OMIM:250400,"Metaphyseal chondrodysplasia, Spahr type",id,Disease
OMIM:227850,Fanconi-Like syndrome,id,Disease
OMIM:238970,Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome,id,Disease
OMIM:613916,"Deafness, autosomal recessive 89",id,Disease
OMIM:163700,"Nipples, supernumerary",id,Disease
OMIM:619585,Spermatogenic failure 58,id,Disease
OMIM:609796,Peeling skin syndrome 2,id,Disease
OMIM:611867,"Chromosome 22q11.2 deletion syndrome, distal",id,Disease
OMIM:167200,"Pachyonychia congenita, type 1",id,Disease
OMIM:620462,"Cardiomyopathy, dilated, 2I",id,Disease
OMIM:243440,Isotretinoin embryopathy-like syndrome,id,Disease
OMIM:301101,"Spermatogenic failure, X-linked, 6",id,Disease
OMIM:234810,Pulmonary venoocclusive disease 2,id,Disease
OMIM:613080,46XY sex reversal 5,id,Disease
OMIM:162350,"Ceroid lipofuscinosis, neuronal, 4B, autosomal dominant",id,Disease
OMIM:614937,"Myoclonus, familial cortical",id,Disease
OMIM:615397,Meckel syndrome 11,id,Disease
OMIM:614089,Atrial septal defect 3,id,Disease
OMIM:616852,"Myopathy, scapulohumeroperoneal",id,Disease
OMIM:222900,"Sucrase-isomaltase deficiency, congenital",id,Disease
OMIM:400044,46XY sex reversal 1,id,Disease
OMIM:613094,"Microphthalmia, isolated 4",id,Disease
OMIM:602199,Medium chain 3-ketoacyl-coa thiolase deficiency,id,Disease
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,id,Disease
OMIM:309549,"Mental retardation, X-linked 9",id,Disease
OMIM:301115,"Immunodeficiency 118, mycobacteriosis",id,Disease
OMIM:615382,Nephronophthisis 16,id,Disease
OMIM:201100,"Acrodermatitis enteropathica, Zinc-Deficiency type",id,Disease
OMIM:400045,46XX sex reversal 1,id,Disease
OMIM:177990,"Pterygium colli, isolated",id,Disease
OMIM:617595,Birk-Landau-Perez syndrome,id,Disease
OMIM:205400,Tangier disease,id,Disease
OMIM:301114,Lui-Jee-Baron syndrome,id,Disease
OMIM:309548,"Mental retardation, X-linked, associated with fragile site fraxe",id,Disease
OMIM:248500,Alpha-mannosidosis,id,Disease
OMIM:614922,Combined oxidative phosphorylation deficiency 11,id,Disease
OMIM:613095,Polycystic kidney disease 2,id,Disease
OMIM:614936,"Keratoderma, palmoplantar, punctate type IB",id,Disease
OMIM:300578,Chromosome xp11.3 deletion syndrome,id,Disease
OMIM:241530,"Hypophosphatemic rickets with hypercalciuria, hereditary",id,Disease
OMIM:615396,Left ventricular noncompaction 10,id,Disease
OMIM:305400,Aarskog-Scott syndrome,id,Disease
OMIM:244460,"Kenny-caffey syndrome, type 1",id,Disease
OMIM:620305,Neurooculorenal syndrome,id,Disease
OMIM:304050,Aicardi syndrome,id,Disease
OMIM:212140,"Carnitine deficiency, systemic primary",id,Disease
OMIM:309560,Mental retardation with spastic paraplegia and palmoplantar hyperkeratosis,id,Disease
OMIM:277900,Wilson disease,id,Disease
OMIM:618856,"Diabetes, permanent neonatal 2, with or without neurologic features",id,Disease
OMIM:620311,Premature ovarian failure 21,id,Disease
OMIM:618665,"Intellectual developmental disorder, autosomal recessive 72",id,Disease
OMIM:607745,"Seizures, benign familial infantile, 3",id,Disease
OMIM:616890,Split-Foot malformation with mesoaxial polydactyly,id,Disease
OMIM:616648,Optic atrophy 8,id,Disease
OMIM:231000,"Gaucher disease, type III",id,Disease
OMIM:613730,"Hemorrhagic destruction of the brain, subependymal calcification,and cataracts",id,Disease
OMIM:560000,"Renal tubulopathy, diabetes mellitus, and cerebellar ataxia",id,Disease
OMIM:614739,"3-Methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome",id,Disease
OMIM:612348,Thrombophilia due to decreased release of tissue plasminogen,id,Disease
OMIM:600994,"Deafness, autosomal dominant nonsyndromic sensorineural 5",id,Disease
OMIM:235500,"Hemosiderosis, pulmonary, with deficiency of gamma-A globulin",id,Disease
OMIM:618103,"Intellectual developmental disorder, autosomal recessive 64",id,Disease
OMIM:619209,Erythrokeratodermia variabilis et progressiva 7,id,Disease
OMIM:106600,"Tooth agenesis, selective, 1",id,Disease
OMIM:618117,Ovarian dysgenesis 7,id,Disease
OMIM:615433,Chromosome 3q13.31 deletion syndrome,id,Disease
OMIM:615355,Noonan syndrome 8,id,Disease
OMIM:186000,Synpolydactyly 1,id,Disease
OMIM:602629,"Dystonia 6, torsion",id,Disease
OMIM:613724,Leukoencephalopathy with dystonia and motor neuropathy,id,Disease
OMIM:102300,"Restless legs syndrome, susceptibility to, 1",id,Disease
OMIM:617542,"Gaze palsy, familial horizontal, with progressive scoliosis, 2",id,Disease
OMIM:614063,N-acetylaspartate deficiency,id,Disease
OMIM:618659,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,id,Disease
OMIM:610205,Alagille syndrome 2,id,Disease
OMIM:107250,Anterior segment dysgenesis 1,id,Disease
OMIM:618881,Galactosemia IV,id,Disease
OMIM:619221,Sulfide:quinone oxidoreductase deficiency,id,Disease
OMIM:247800,"Lymphopenic hypergammaglobulinemia, antibody deficiency, autoimmunehemolytic anemia, and glomerulonephritis",id,Disease
OMIM:230450,"Gamma-Glutamylcysteine synthetase deficiency, hemolytic anemia dueto",id,Disease
OMIM:616106,"Psoriasis 15, pustular, susceptibility to",id,Disease
OMIM:600002,Eiken syndrome,id,Disease
OMIM:619553,"Deafness, autosomal recessive 118, with cochlear aplasia",id,Disease
OMIM:615369,Develomental and epileptic encephalopathy 94,id,Disease
OMIM:612406,"Dystonia 17, torsion, autosomal recessive",id,Disease
OMIM:613718,"Deafness, autosomal recessive 74",id,Disease
OMIM:614077,Hermansky-Pudlak syndrome 8,id,Disease
OMIM:160750,MYOSITIS,id,Disease
OMIM:607584,"Spastic paraplegia 24, autosomal recessive",id,Disease
OMIM:606842,Cardioneuromyopathy with hyaline masses and nemaline rods,id,Disease
OMIM:616489,Silver-Russell syndrome 3,id,Disease
OMIM:605387,"Cataract 31, multiple types",id,Disease
OMIM:257150,Neutrophil actin dysfunction,id,Disease
OMIM:606856,"Pancreatic cancer, susceptibility to, 1",id,Disease
OMIM:617783,"Nephrotic syndrome, type 16",id,Disease
OMIM:224800,Ectodermal dysplasia and neurosensory deafness,id,Disease
OMIM:611494,"Atrial fibrillation, familial, 5",id,Disease
OMIM:201470,"Acyl-Coa dehydrogenase, short-chain, deficiency of",id,Disease
OMIM:276820,"Ulna and fibula, absence of, with severe limb deficiency",id,Disease
OMIM:249420,Frank-ter Haar syndrome,id,Disease
OMIM:615802,"Neurodevelopmental disorder with dysmorphic features, spasticity, and brain abnormalities",id,Disease
OMIM:256500,Netherton syndrome,id,Disease
OMIM:618498,"Polydactyly, postaxial, type A10",id,Disease
OMIM:620107,Orofaciodigital syndrome XIX,id,Disease
OMIM:300752,"Protoporphyria, erythropoietic, X-linked",id,Disease
OMIM:619786,"Epidermolysis bullosa, junctional 3B, severe",id,Disease
OMIM:617973,"Methemoglobinemia, Alpha type",id,Disease
OMIM:178651,Pulmonic stenosis and deafness,id,Disease
OMIM:620113,"Neurodevelopmental disorder with growth retardation, dysmorphic facies, and corpus callosum abnormalities",id,Disease
OMIM:617967,"Hydrocephalus, congenital, 3, with brain anomalies",id,Disease
OMIM:228960,Flaujeac factor deficiency,id,Disease
OMIM:615816,Immunodeficiency 23,id,Disease
OMIM:165600,"Orbital margin, hypoplasia of",id,Disease
OMIM:209010,"Atherosclerosis, premature, with deafness, nephropathy, diabetes mellitus,photomyoclonus, and degenerative neurologic disease",id,Disease
OMIM:128700,"Preauricular fistulae, congenital",id,Disease
OMIM:620675,"Leukodystrophy, hypomyelinating, 27",id,Disease
OMIM:601650,Paragangliomas 2,id,Disease
OMIM:615625,"Spastic paraplegia 72, autosomal recessive",id,Disease
OMIM:186570,Tarsal-Carpal coalition syndrome,id,Disease
OMIM:613254,Tuberous sclerosis-2,id,Disease
OMIM:251290,Band-Like calcification with simplified gyration and polymicrogyria,id,Disease
OMIM:606895,"Symphalangism, distal, with microdontia, dental pulp stones, and narrowedzygomatic arch",id,Disease
OMIM:614249,"Mental retardation, autosomal recessive 18",id,Disease
OMIM:165199,"Optic atrophy, hearing loss, and peripheral neuropathy, autosomaldominant",id,Disease
OMIM:615157,"Mitochondrial complex III deficiency, nuclear type 2",id,Disease
OMIM:615631,"Anemia, congenital dyserythropoietic, type Ib",id,Disease
OMIM:617026,"Pontocerebellar hypoplasia, type 2F",id,Disease
OMIM:608106,"Immunodeficiency with hyper IgM, type 5",id,Disease
OMIM:141749,Fetal hemoglobin quantitative trait locus 1,id,Disease
OMIM:620852,"Neurodevelopemental disorder with hypotonia, feeding difficulties, facial dysmorphism, and brain abnormalities",id,Disease
OMIM:609218,Foveal hypoplasia 2,id,Disease
OMIM:214900,Cholestasis-Lymphedema syndrome,id,Disease
OMIM:263550,"Polymyoclonus, infantile",id,Disease
OMIM:615619,CHOLANGIOCARCINOMA,id,Disease
OMIM:266400,Reese retinal dysplasia,id,Disease
OMIM:613268,"Corneal dystrophy, Fuchs endothelial, 4",id,Disease
OMIM:614507,"Congenital disorder of glycosylation, type IR",id,Disease
OMIM:619745,Noonan syndrome 14,id,Disease
OMIM:617768,Kleefstra syndrome 2,id,Disease
OMIM:614261,Microcephaly-Capillary malformation syndrome,id,Disease
OMIM:125595,Dermatopathia pigmentosa reticularis,id,Disease
DECIPHER:17,Sotos syndrome,id,Disease
OMIM:619751,Stuve-Wiedemann syndrome 2,id,Disease
OMIM:616462,"Acrofacial dysostosis, Cincinnati type",id,Disease
OMIM:151200,Chromosome 8q22.1 duplication syndrome,id,Disease
OMIM:255960,"Myxoma, intracardiac",id,Disease
OMIM:619989,Neurodevelopmental disorder with speech delay and variable ocular anomalies,id,Disease
OMIM:618329,Combined oxidative phosphorylation deficiency 37,id,Disease
OMIM:601678,"Bartter syndrome, type 1, antenatal",id,Disease
OMIM:118600,Chondrocalcinosis 2,id,Disease
OMIM:616304,"Myasthenic syndrome, congenital, 17",id,Disease
OMIM:155700,"Melanoma, malignant familial intraocular",id,Disease
OMIM:269860,Short-rib thoracic dysplasia 12,id,Disease
OMIM:620729,Hyperferritinemia,id,Disease
OMIM:120200,"Coloboma, ocular",id,Disease
OMIM:610832,"Fanconi anemia, complementation group N",id,Disease
OMIM:169600,Benign chronic pemphigus,id,Disease
OMIM:619816,"Epidermolysis bullosa, junctional 5A, intermediate",id,Disease
OMIM:613485,Long QT syndrome 13,id,Disease
OMIM:612943,Retinitis pigmentosa 42,id,Disease
OMIM:602588,Branchiootic syndrome 1,id,Disease
OMIM:124700,"Deafness, mid-tone neural",id,Disease
OMIM:217400,Corneal endothelial dystrophy and perceptive deafness,id,Disease
OMIM:610198,"3-methylglutaconic aciduria, type V",id,Disease
