~from,~id,association_type:String,data_source:String,source:String,~to,~label
NFKB1,gene_disease_29,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616576,GeneToDiseaseAssociation
POMK,gene_disease_30,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615249,GeneToDiseaseAssociation
SBF2,gene_disease_31,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:604563,GeneToDiseaseAssociation
TRPM4,gene_disease_32,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:604559,GeneToDiseaseAssociation
CPN1,gene_disease_33,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:212070,GeneToDiseaseAssociation
HNRNPK,gene_disease_34,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616580,GeneToDiseaseAssociation
ALDH18A1,gene_disease_35,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616586,GeneToDiseaseAssociation
BMPR1A,gene_disease_36,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:174900,GeneToDiseaseAssociation
SMAD4,gene_disease_37,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:174900,GeneToDiseaseAssociation
COL2A1,gene_disease_38,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616583,GeneToDiseaseAssociation
DLL4,gene_disease_39,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616589,GeneToDiseaseAssociation
FGFR3,gene_disease_40,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:146000,GeneToDiseaseAssociation
VLDLR,gene_disease_41,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:224050,GeneToDiseaseAssociation
KLHDC8B,gene_disease_42,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:236000,GeneToDiseaseAssociation
MT-ATP6,gene_disease_43,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:551500,GeneToDiseaseAssociation
PRNP,gene_disease_44,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:603218,GeneToDiseaseAssociation
WT1,gene_disease_45,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:136680,GeneToDiseaseAssociation
PDGFRB,gene_disease_46,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616592,GeneToDiseaseAssociation
SPRY4,gene_disease_47,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615266,GeneToDiseaseAssociation
SMIM1,gene_disease_48,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615264,GeneToDiseaseAssociation
GATA1,gene_disease_49,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:314050,GeneToDiseaseAssociation
DUSP6,gene_disease_50,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615269,GeneToDiseaseAssociation
IL17RD,gene_disease_51,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615267,GeneToDiseaseAssociation
ATP8A2,gene_disease_52,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615268,GeneToDiseaseAssociation
PADI3,gene_disease_53,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:191480,GeneToDiseaseAssociation
MGAT2,gene_disease_54,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:212066,GeneToDiseaseAssociation
PMM2,gene_disease_55,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:212065,GeneToDiseaseAssociation
PLD1,gene_disease_56,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:212093,GeneToDiseaseAssociation
SOX18,gene_disease_57,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:137940,GeneToDiseaseAssociation
PKP1,gene_disease_58,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:604536,GeneToDiseaseAssociation
LCA5,gene_disease_59,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:604537,GeneToDiseaseAssociation
ERCC4,gene_disease_60,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615272,GeneToDiseaseAssociation
NGLY1,gene_disease_61,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615273,GeneToDiseaseAssociation
FGF17,gene_disease_62,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615270,GeneToDiseaseAssociation
FLRT3,gene_disease_63,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615271,GeneToDiseaseAssociation
LIM2,gene_disease_64,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615277,GeneToDiseaseAssociation
MIP,gene_disease_65,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615274,GeneToDiseaseAssociation
KRAS,gene_disease_66,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615278,GeneToDiseaseAssociation
MAP2K1,gene_disease_67,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615279,GeneToDiseaseAssociation
MT-TS1,gene_disease_68,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:580000,GeneToDiseaseAssociation
TRMU,gene_disease_69,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:580000,GeneToDiseaseAssociation
TRMU,gene_disease_70,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:580000,GeneToDiseaseAssociation
AAGAB,gene_disease_71,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:148600,GeneToDiseaseAssociation
COMP,gene_disease_72,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:177170,GeneToDiseaseAssociation
MAP2K2,gene_disease_73,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615280,GeneToDiseaseAssociation
SBF1,gene_disease_74,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615284,GeneToDiseaseAssociation
BSG,gene_disease_75,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:111380,GeneToDiseaseAssociation
DARS1,gene_disease_76,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615281,GeneToDiseaseAssociation
KIF5C,gene_disease_77,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615282,GeneToDiseaseAssociation
B4GAT1,gene_disease_78,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615287,GeneToDiseaseAssociation
VPS45,gene_disease_79,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615285,GeneToDiseaseAssociation
ADAT3,gene_disease_80,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615286,GeneToDiseaseAssociation
TAFAZZIN,gene_disease_81,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:302060,GeneToDiseaseAssociation
DMGDH,gene_disease_82,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:605850,GeneToDiseaseAssociation
DIP2B,gene_disease_83,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:136630,GeneToDiseaseAssociation
SOS1,gene_disease_84,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:135300,GeneToDiseaseAssociation
CTH,gene_disease_85,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:219500,GeneToDiseaseAssociation
BICD2,gene_disease_86,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615290,GeneToDiseaseAssociation
CSF1R,gene_disease_87,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:221820,GeneToDiseaseAssociation
DRC1,gene_disease_88,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615294,GeneToDiseaseAssociation
NOTCH3,gene_disease_89,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615293,GeneToDiseaseAssociation
GDF5,gene_disease_90,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615298,GeneToDiseaseAssociation
CBLIF,gene_disease_91,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:261000,GeneToDiseaseAssociation
EOGT,gene_disease_92,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615297,GeneToDiseaseAssociation
CAV3,gene_disease_93,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:123320,GeneToDiseaseAssociation
DMD,gene_disease_94,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:302045,GeneToDiseaseAssociation
RIPK4,gene_disease_95,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:263650,GeneToDiseaseAssociation
OVOL2,gene_disease_96,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:122000,GeneToDiseaseAssociation
TTN,gene_disease_97,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611705,GeneToDiseaseAssociation
NRAS,gene_disease_98,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:162900,GeneToDiseaseAssociation
FGFR3,gene_disease_99,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:162900,GeneToDiseaseAssociation
HRAS,gene_disease_100,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:162900,GeneToDiseaseAssociation
PIK3CA,gene_disease_101,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:162900,GeneToDiseaseAssociation
XYLT2,gene_disease_102,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:605822,GeneToDiseaseAssociation
BMPR1B,gene_disease_103,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:112600,GeneToDiseaseAssociation
BMP2,gene_disease_104,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:112600,GeneToDiseaseAssociation
GDF5,gene_disease_105,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:112600,GeneToDiseaseAssociation
GNE,gene_disease_106,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:605820,GeneToDiseaseAssociation
SGSH,gene_disease_107,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:252900,GeneToDiseaseAssociation
ARFGEF2,gene_disease_108,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608097,GeneToDiseaseAssociation
PRRX1,gene_disease_109,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:202650,GeneToDiseaseAssociation
DPAGT1,gene_disease_110,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608093,GeneToDiseaseAssociation
TMEM216,gene_disease_111,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608091,GeneToDiseaseAssociation
INPP5E,gene_disease_112,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:213300,GeneToDiseaseAssociation
LPL,gene_disease_113,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:238600,GeneToDiseaseAssociation
CD40LG,gene_disease_114,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:308230,GeneToDiseaseAssociation
EGF,gene_disease_115,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611718,GeneToDiseaseAssociation
SGCA,gene_disease_116,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608099,GeneToDiseaseAssociation
MRPS22,gene_disease_117,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611719,GeneToDiseaseAssociation
SLC25A13,gene_disease_118,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:605814,GeneToDiseaseAssociation
COL7A1,gene_disease_119,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:226600,GeneToDiseaseAssociation
PSAP,gene_disease_120,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611721,GeneToDiseaseAssociation
PSAP,gene_disease_121,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611722,GeneToDiseaseAssociation
IRF4,gene_disease_122,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611724,GeneToDiseaseAssociation
CDH1,gene_disease_123,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608089,GeneToDiseaseAssociation
MSH6,gene_disease_124,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608089,GeneToDiseaseAssociation
MSH3,gene_disease_125,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608089,GeneToDiseaseAssociation
MLH3,gene_disease_126,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608089,GeneToDiseaseAssociation
KCTD7,gene_disease_127,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611726,GeneToDiseaseAssociation
SH2D1A,gene_disease_128,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:308240,GeneToDiseaseAssociation
XIAP,gene_disease_129,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:308240,GeneToDiseaseAssociation
FLG,gene_disease_130,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:605803,GeneToDiseaseAssociation
WNT10B,gene_disease_131,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:225300,GeneToDiseaseAssociation
CHRNE,gene_disease_132,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:605809,GeneToDiseaseAssociation
AFF2,gene_disease_133,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:309548,GeneToDiseaseAssociation
FTSJ1,gene_disease_134,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:309549,GeneToDiseaseAssociation
HNF1B,gene_disease_135,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:137920,GeneToDiseaseAssociation
HCFC1,gene_disease_136,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:309541,GeneToDiseaseAssociation
MYH7,gene_disease_137,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:255160,GeneToDiseaseAssociation
MYO7A,gene_disease_138,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:276900,GeneToDiseaseAssociation
USH1C,gene_disease_139,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:276900,GeneToDiseaseAssociation
USH2A,gene_disease_140,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:276901,GeneToDiseaseAssociation
PDZD7,gene_disease_141,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:276901,GeneToDiseaseAssociation
SCN5A,gene_disease_142,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:113900,GeneToDiseaseAssociation
CLRN1,gene_disease_143,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:276902,GeneToDiseaseAssociation
USH1C,gene_disease_144,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:276904,GeneToDiseaseAssociation
RBMX,gene_disease_145,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:309555,GeneToDiseaseAssociation
AKT2,gene_disease_146,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:240900,GeneToDiseaseAssociation
ASIP,gene_disease_147,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:611742,GeneToDiseaseAssociation
ERBB3,gene_disease_148,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:243180,GeneToDiseaseAssociation
TWIST1,gene_disease_149,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:180750,GeneToDiseaseAssociation
MEFV,gene_disease_150,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608068,GeneToDiseaseAssociation
S1PR2,gene_disease_151,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:610419,GeneToDiseaseAssociation
LAMB3,gene_disease_152,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:226650,GeneToDiseaseAssociation
COL1A2,gene_disease_153,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:225320,GeneToDiseaseAssociation
MYC,gene_disease_154,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:113970,GeneToDiseaseAssociation
PROM1,gene_disease_155,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608051,GeneToDiseaseAssociation
MED12,gene_disease_156,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:309520,GeneToDiseaseAssociation
IL10RB,gene_disease_157,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:610424,GeneToDiseaseAssociation
IFNGR1,gene_disease_158,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:610424,GeneToDiseaseAssociation
